deep_id,printer_id,uncertain
5038,82,false
5039,82,false
5040,82,false
5041,62,false
5041,71,false
5041,82,false
5042,71,false
5042,82,false
5042,62,false
5043,71,false
5043,82,false
5043,62,false
5044,71,false
5045,71,false
5045,78,false
5046,155,false
5047,51,false
5047.01,51,false
5048,70,false
5049,101,false
5050,82,false
5051,82,false
5052,82,false
5053,82,false
5054,61,false
5054,53,false
5055,61,false
5055,53,false
5056,80,false
5057,80,false
5058,80,false
5059,61,false
5059,72,false
5060,61,false
5060,72,false
5060.02,72,false
5061,61,false
5061,72,false
5061.01,61,false
5061.02,61,false
5061.03,61,false
5062,62,false
5062.02,62,false
5062.03,62,false
5062.04,62,false
5063,72,false
5063.02,72,false
5064,70,false
5064.01,70,false
5064.02,70,false
5064.04,70,false
5065,104,false
5065.01,104,false
5065.02,104,false
5065.03,104,false
5065.04,104,false
5065.05,104,false
5066,104,false
5067,156,false
5067.01,156,false
5068,72,false
5069,72,false
5070,73,false
5070.02,73,false
5071,62,false
5072,73,false
5072.02,73,false
5073,62,false
5074,62,false
5074.01,62,false
5074.02,62,false
5074.03,62,false
5074.04,62,false
5074.05,62,false
5074.06,62,false
5074.07,62,false
5074.08,62,false
5074.09,62,false
5074.10,62,false
5074.11,62,false
5074.12,62,false
5074.13,62,false
5074.14,62,false
5074.15,62,false
5074.16,62,false
5075,62,false
5076,118,false
5076,71,false
5076.01,118,false
5076.02,118,false
5076.03,118,false
5076.04,71,false
5076.04,118,false
5076.05,118,false
5076.06,118,false
5076.07,118,false
5076.08,118,false
5076.09,118,false
5076.10,118,false
5076.11,118,false
5077,57,false
5078,72,false
5079,73,false
5079.01,73,false
5079.02,73,false
5079.03,73,false
5079.04,73,false
5079.05,73,false
5080,100,false
5081,97,false
5081,57,false
5082,100,false
5084,100,false
5085,100,false
5086,100,false
5087,100,false
5088,100,false
5089,100,false
5090,157,false
5091,78,false
5092,78,false
5093,89,true
5094,50,false
5095,154,false
5096,75,false
5097,89,false
5097.01,89,false
5097.02,89,false
5097.03,89,false
5097.04,89,false
5098,62,false
5098.02,62,false
5098.03,62,false
5098.04,62,false
5098.05,62,false
5098.06,62,false
5098.07,62,false
5098.08,62,false
5099,62,false
5100,103,false
5101,75,false
5102,55,false
5103,55,false
5104,102,false
5104,89,false
5104.01,89,false
5105,115,false
5106,78,false
5107,116,false
5108,116,false
5109,116,false
5110,116,false
5111,114,false
5111.01,114,false
5111.02,114,false
5112,114,false
5112.01,114,false
5112.02,114,false
5113,114,false
5114,2,false
5114.02,114,false
5114.03,112,false
5115,2,false
5116,2,false
5117,2,false
5118,116,false
5118.01,115,false
5118.02,115,false
5118.03,115,false
5118.04,115,false
5118.04,116,false
5118.05,115,false
5118.06,115,false
5118.06,116,false
5118.09,117,false
5118.10,99,false
5119,69,false
5120,99,false
5120.01,99,false
5120.02,99,false
5121,99,false
5122,99,false
5123,99,false
5124,78,false
5124,116,false
5124,60,false
5124,87,false
5124,89,false
5125,78,false
5125,116,false
5125,60,false
5125,87,false
5125,89,false
5126,116,false
5126.02,116,false
5127,116,false
5128,2,false
5129,2,false
5130,69,false
5130.01,69,false
5132,100,false
5132.01,100,false
5132.02,100,false
5133,125,false
5134,122,false
5134,125,false
5135,122,false
5135,125,false
5135,95,false
5135.01,95,false
5136,122,false
5136,125,false
5136,95,false
5137,122,false
5137,125,false
5137,95,false
5138,93,false
5138,106,false
5138,95,false
5139,158,false
5140,158,false
5141,93,false
5142,93,false
5143,125,false
5143,95,false
5143,131,false
5143,122,false
5143,106,false
5143,137,false
5144,109,false
5144.01,109,false
5144.02,109,false
5144.03,109,false
5144.04,109,false
5145,127,false
5145.01,127,false
5146,130,false
5147,123,true
5147.01,49,false
5147.02,61,false
5147.03,72,false
5147.04,58,false
5147.05,61,false
5147.06,67,false
5148,123,true
5148.01,61,false
5148.02,72,false
5148.03,27,false
5148.04,70,false
5148.05,68,false
5148.06,40,false
5148.07,40,false
5148.08,69,false
5148.08,102,false
5149,123,true
5149.01,101,false
5149.02,73,false
5149.03,89,false
5149.04,89,false
5149.05,68,false
5149.06,75,false
5149.07,106,false
5150,2,false
5153,136,false
5153.04,136,false
5153.05,136,false
5154,159,false
5155,93,false
5155,95,false
5156,93,false
5156,95,false
5157,2,false
5158,2,false
5159,2,false
5161,129,false
5162,129,false
5163,129,false
5164,129,false
5165,129,false
5166,140,true
5166,95,true
5167,140,true
5167,95,true
5168,140,true
5168,95,true
5169,2,false
5170,93,false
5171,2,false
5172,2,false
5172.01,88,false
5172.02,88,false
5173,139,false
5173.02,139,false
5173.03,139,false
5174,139,false
5175,139,false
5176,120,false
5176.02,120,false
5176.04,120,false
5177,120,false
5178,120,false
5179,2,false
5180,95,false
5181,2,false
5182,149,false
5182.01,149,false
5182.03,149,false
5183,158,false
