deep_id,author_id,uncertain
851,78,false
852,78,false
853,119,false
854,127,false
855,127,false
856,127,false
857,68,false
858,78,false
859,120,false
860,0,false
861,0,false
862,149,true
863,150,false
864,150,false
865,90,false
865,119,false
866,90,false
866,119,false
867,90,false
867,119,false
868,90,false
868,119,false
869,78,false
870,129,false
871,129,false
872,129,false
873,151,false
874,129,false
875,78,false
876,129,false
877,152,false
878,146,false
878,153,false
879,146,false
879,153,false
880,127,false
881,127,false
882,93,false
883,126,false
884,154,false
885,154,false
886,155,false
887,155,false
888,155,false
889,78,false
890,129,false
891,129,false
892,129,false
893,156,false
894,156,false
895,156,false
896,129,false
897,129,false
898,157,false
899,150,false
900,150,false
901,150,false
902,158,false
903,158,false
904,158,false
905,158,false
906,150,false
907,150,false
908,150,false
909,159,false
910,78,false
911,129,false
912,65,false
912,129,false
913,121,false
914,121,false
915,121,false
916,121,false
917,121,false
918,126,false
919,160,false
920,161,false
921,161,false
922,90,false
923,119,false
924,162,false
925,162,false
926,162,false
927,162,false
928,163,false
929,163,false
930,129,false
931,129,false
932,90,false
932,129,true
933,161,false
934,161,false
935,90,false
935,119,false
935,65,true
935,104,true
935,69,true
936,90,false
936,119,false
936,65,true
936,104,true
936,69,true
937,78,false
938,68,false
938,81,false
939,164,false
940,164,false
941,165,false
942,166,false
943,166,false
944,127,false
945,129,false
946,129,false
947,90,false
947,129,false
948,129,false
949,129,false
950,129,false
951,150,false
952,129,false
953,167,false
954,168,false
954,169,false
955,168,false
955,169,false
956,168,false
956,169,false
957,168,false
957,169,false
958,168,false
958,169,false
959,169,false
959,168,false
960,168,false
960,169,false
961,168,false
961,169,false
962,170,false
963,150,false
964,171,false
965,171,false
966,129,false
967,172,false
968,172,false
969,138,false
970,138,false
971,138,false
972,173,false
973,173,false
974,174,false
975,174,false
976,161,false
977,161,false
978,129,false
979,129,false
980,161,false
981,175,false
982,175,false
983,146,false
983,176,false
984,177,false
985,90,false
986,178,false
987,137,false
988,86,false
989,0,false
990,179,false
991,180,false
992,180,false
993,180,false
994,158,false
995,158,false
996,158,false
997,181,false
998,0,false
998,182,false
999,127,false
1000,127,false
1001,183,false
1002,129,false
1003,158,false
1004,158,false
1005,184,false
1005,77,false
1006,184,false
1006,77,false
1007,185,false
1008,185,false
1009,186,true
1009,187,true
1010,188,false
1011,0,false
1012,0,false
1013,164,false
1015,164,false
1016,164,false
1017,164,false
1018,0,false
1019,0,false
1020,0,false
1021,0,false
1022,0,false
1023,189,false
1023,7,false
1024,0,false
1025,0,false
1026,0,false
1027,0,false
1028,0,false
1029,0,false
1030,0,false
1031,0,false
1032,190,false
1032,129,false
1033,190,false
1033,129,false
1034,0,false
1035,191,false
1035,192,false
1036,127,false
1037,193,true
1038,0,false
1039,0,false
1040,0,false
1041,0,false
1042,0,false
1043,0,false
1044,194,false
1045,195,false
1046,195,false
1047,0,false
1048,190,false
1049,157,false
1050,157,false
1051,196,false
1052,197,false
1053,198,false
1053,7,false
1054,185,false
1055,0,false
1056,140,false
1056,199,false
1056,200,false
1057,201,false
1058,202,false
1059,81,false
1060,90,false
1061,0,false
1062,138,false
1063,202,false
1064,203,false
1064,169,false
1065,196,false
1066,196,false
1067,196,false
1068,81,false
1068,93,false
1069,81,false
1069,93,false
1070,129,false
1071,129,false
1072,129,false
1073,204,false
1074,204,false
1075,0,false
1076,126,false
1077,68,false
1077,126,false
1077,81,false
1077,93,false
1078,138,false
1079,138,false
1080,129,false
1081,129,false
1082,129,false
1083,129,false
1084,129,false
1085,129,false
1086,0,false
1087,0,false
1088,161,true
1089,161,true
1090,161,true
1091,161,true
1092,82,true
1093,82,true
1094,82,true
1095,82,true
1096,205,false
1097,206,false
1098,207,true
1099,208,false
1099,209,false
1100,205,false
1101,205,false
1102,78,false
1102,93,false
1103,186,false
1104,105,false
1105,210,false
1106,211,false
1107,212,false
1107,213,false
1108,212,false
1108,213,false
1109,214,false
1110,129,false
1111,129,false
1112,0,false
1113,163,false
1114,129,false
1115,129,false
1116,165,false
1116,153,false
1117,133,true
1118,0,false
1119,127,false
1120,127,false
1121,127,false
1122,215,false
1123,165,false
1123,153,false
1124,81,false
1124,93,false
1124,78,false
1125,68,false
1125,126,false
1126,68,false
1126,126,false
1127,68,false
1127,126,false
1128,68,false
1128,126,false
1129,68,false
1129,126,false
1130,68,false
1130,126,false
1131,68,false
1131,126,false
1132,127,false
1133,216,false
1134,138,false
1135,217,false
1136,217,false
1137,217,false
1138,218,false
1139,218,false
1140,196,false
1141,217,false
1142,217,false
1143,217,false
1144,0,false
1145,0,false
1146,0,false
1147,81,false
1148,128,false
1149,197,false
1150,121,false
1151,68,false
1151,93,false
1151,126,false
1152,196,false
1153,196,false
1154,127,false
1155,119,false
1156,119,false
1157,119,false
1158,119,false
1159,119,false
1160,119,false
1161,165,false
1162,165,false
1163,219,false
1164,220,false
1165,221,false
